"Category","Agriculture","Buildings","Fuel Exploitation","Industrial Combustion","Power Industry","Processes","Transport","Waste","Total CO2/cap"
1970,718195,10852000,2946800,6992400,8278190,5386030,10276700,8609,1.3
1971,718195,12152500,2617730,8237120,9061700,5877360,11097700,9157,1.39
1972,718195,14589000,3512460,11248300,9071790,6245680,12301500,9735,1.58
1973,718195,14946000,4606470,11608000,9763470,6998400,13842900,10340,1.67
1974,494214,15407300,5553690,11720700,10529800,6972700,14370600,10974,1.7
1975,737576,15289500,5591770,13339200,11316900,7709700,16376300,11636,1.79
1976,1020010,17571500,5351860,15315100,12804500,8327990,17662500,12257,1.94
1977,963705,18740000,6972790,16214200,14122100,9029770,20054400,12902,2.09
1978,980676,16316200,4590500,19727500,13762900,10179100,19470500,13571,2.02
1979,1290510,14310000,4306660,18872600,13365500,8820540,17467200,14270,1.82
1980,1186320,17434100,4316170,20775100,12905500,8450880,16743300,15001,1.86
1981,968052,16459400,4165920,19954500,14358600,9198870,16867400,16227,1.82
1982,1064120,19528500,4684720,21054900,14989000,9508040,18066900,17524,1.93
1983,1146360,21092200,4749440,22124200,17169700,8645030,18907000,18889,1.99
1984,1067310,20460600,5052870,24454000,19403000,9841270,19082100,20316,2.07
1985,998067,23001400,5337500,23309900,24824300,10769400,19759700,21800,2.2
1986,1075540,23448300,5732350,22232700,30681200,13011600,22080900,23174,2.36
1987,1225560,28752800,6402450,26601200,27683500,12823900,25147300,24593,2.52
1988,1101410,28093000,7797150,28252800,20759800,13131500,25551500,26058,2.4
1989,1201830,27493600,8266280,29794200,31140500,14359600,25949300,27572,2.61
1990,1290300,28705300,8836710,32760400,33823800,21867600,27851000,29137,2.88
1991,1419940,29158900,7231290,34572700,35567300,17984600,26557900,29333,2.78
1992,1468240,31549400,8654000,33159300,38545200,18448500,27114100,30671,2.85
1993,1494380,32003500,8237410,33163000,38358300,18971200,32271100,31627,2.9
1994,1021060,28098000,8795600,30341800,44266000,19727600,31335500,32612,2.84
1995,1167570,33303000,9161980,33687800,45304700,20518600,35200600,31233,3.05
1996,1264060,33976300,8715340,42075100,50620200,20847700,36993200,35266,3.27
1997,1412770,35283100,10282400,45514800,55482800,22073000,34348500,52523,3.39
1998,1757010,32038600,10748800,46997400,60218100,22493300,31717100,33812,3.36
1999,2019910,31499600,9703920,41361100,65311100,21347700,33299200,31943,3.28
2000,1668230,33497000,9325530,58028200,68358400,21411100,34735200,32773,3.59
2001,1600450,30358700,8273700,42427500,69831600,20892400,33311700,33875,3.22
2002,1749370,32885500,8311250,53094900,64531900,21706200,35076200,22583,3.34
2003,2009910,35757600,8989660,59954200,65531500,22298200,35126900,27471,3.48
2004,2074600,39317400,9792390,58611400,66620100,23712100,35743300,11503,3.52
2005,2124570,42829600,9187790,54958000,74515400,25511500,36941500,21057,3.62
2006,2266680,45312600,9981600,63087100,83571800,28100300,41651500,29461,3.98
2007,2117760,49165300,9123240,62921400,99258500,30266800,47450500,28968,4.32
2008,1780950,65968700,11357000,37531300,105888000,32324700,44672200,26945,4.25
2009,2495640,63181700,12995700,41615200,101413000,35395700,44258600,21504,4.22
2010,2330640,63002400,12894300,48683000,102021000,39839900,43386100,14460,4.32
2011,2114360,67988600,12622600,52081700,113263000,40685800,44000300,11739,4.53
2012,2454310,66369800,13542600,54092000,115792000,40841800,51056500,9169,4.62
2013,2759740,60497000,14475000,46478500,109269000,43185400,57204300,4845,4.41
2014,2517800,59645300,13479900,47981600,127350000,43473800,60932400,413,4.61
2015,2515390,62024100,17166500,50611400,119533000,43484100,72508100,573,4.7
2016,3306230,62132100,19179800,51055900,130021000,46415300,79151700,738,4.92
2017,2702070,68483600,21349100,68788200,139969000,49083900,82843400,661,5.37
2018,2229860,59598800,17881900,72693000,144220000,49349300,83370200,481,5.24
2019,2347140,66510700,18786600,67084700,133750000,42476500,83520700,1106,5
2020,2985820,71463100,16366300,73284800,128822000,51310500,78856600,1725,5.05
2021,2310580,71708800,17891900,81359400,143704000,54270900,89459600,2225,5.45
2022,2130070,71605400,16531200,73867000,140512000,49644500,90114700,2835,5.23
2023,2169070,68879700,15259800,70738500,138756000,53414800,97217100,3270,5.23
2024,2121120,72687100,15622100,75024800,140913000,54369200,99286300,3771,5.36
