user_id,ay,dolmus_km,otobus_km,metro_km,otomobil_km,ucak_km,aylik_co2_kg,sehir_kodu,arac_sahibi,lag_1_co2,lag_2_co2,lag_3_co2,lag_4_co2,target_next_month_co2
1,1,1893316,1620502,996138,722129,4,271970.03,34,1,,,,,276014.95
1,2,1853187,1766893,1092433,710410,5,276014.95,34,1,271970.03,,,,256961.86
1,3,1723322,1658630,1094038,642374,5,256961.86,34,1,276014.95,271970.03,,,261349.04
1,4,1723599,1636444,989282,720202,5,261349.04,34,1,256961.86,276014.95,271970.03,,263893.93
1,5,1690607,1778426,1005844,703300,5,263893.93,34,1,261349.04,256961.86,276014.95,271970.03,259856.54
1,6,1691895,1631665,1076275,712797,5,259856.54,34,1,263893.93,261349.04,256961.86,276014.95,270588.45
1,7,1870686,1645267,996565,711516,5,270588.45,34,1,259856.54,263893.93,261349.04,256961.86,268753.94
1,8,1718671,1797616,1097189,711472,5,268753.94,34,1,270588.45,259856.54,263893.93,261349.04,262870.55
1,9,1845831,1637155,994555,647928,5,262870.55,34,1,268753.94,270588.45,259856.54,263893.93,255991.48
1,10,1699963,1656378,1102750,647859,5,255991.48,34,1,262870.55,268753.94,270588.45,259856.54,254227.51
1,11,1695319,1646896,982009,658044,4,254227.51,34,1,255991.48,262870.55,268753.94,270588.45,266674.46
1,12,1886935,1623923,1092296,648880,5,266674.46,34,1,254227.51,255991.48,262870.55,268753.94,261214.77
1,13,1707271,1653456,991850,722095,5,261214.77,34,1,266674.46,254227.51,255991.48,262870.55,275060.23
1,14,1842225,1788390,1007625,713199,4,275060.23,34,1,261214.77,266674.46,254227.51,255991.48,255478.35
1,15,1719444,1634134,1073372,643835,4,255478.35,34,1,275060.23,261214.77,266674.46,254227.51,259428.96
1,16,1697713,1797488,986195,643429,5,259428.96,34,1,255478.35,275060.23,261214.77,266674.46,263205.48
1,17,1860891,1619362,980438,651640,4,263205.48,34,1,259428.96,255478.35,275060.23,261214.77,271166.94
1,18,1731351,1814591,1096086,721447,5,271166.94,34,1,263205.48,259428.96,255478.35,275060.23,261056.07
1,19,1698280,1768467,1080897,657254,4,261056.07,34,1,271166.94,263205.48,259428.96,255478.35,270513.49
1,20,1850615,1615956,1082393,723052,5,270513.49,34,1,261056.07,271166.94,263205.48,259428.96,256101.96
1,21,1721445,1626071,1088517,650287,5,256101.96,34,1,270513.49,261056.07,271166.94,263205.48,264525.34
1,22,1694134,1769972,997788,713155,4,264525.34,34,1,256101.96,270513.49,261056.07,271166.94,264827.54
1,23,1684170,1792134,1006901,711732,5,264827.54,34,1,264525.34,256101.96,270513.49,261056.07,253272.03
1,24,1690628,1620569,1076107,645870,5,253272.03,34,1,264827.54,264525.34,256101.96,270513.49,266866.68
1,25,1887531,1639687,1086003,644423,5,266866.68,34,1,253272.03,264827.54,264525.34,256101.96,265631.23
1,26,1881004,1655472,991638,645300,5,265631.23,34,1,266866.68,253272.03,264827.54,264525.34,256902.66
1,27,1724883,1652989,1009549,658612,5,256902.66,34,1,265631.23,266866.68,253272.03,264827.54,261378.93
1,28,1712652,1789531,983617,658472,5,261378.93,34,1,256902.66,265631.23,266866.68,253272.03,266661.02
1,29,1711439,1782807,1075874,704213,5,266661.02,34,1,261378.93,256902.66,265631.23,266866.68,279547.03
1,30,1889404,1804813,1092771,705905,5,279547.03,34,1,266661.02,261378.93,256902.66,265631.23,
2,1,1445531,1603188,906011,413706,7,212924.58,34,1,,,,,218936.41
2,2,1425635,1731087,997130,418771,7,218936.41,34,1,212924.58,,,,219138.95
2,3,1433869,1749388,976824,410317,7,219138.95,34,1,218936.41,212924.58,,,224843.39
2,4,1564207,1754686,995261,374073,7,224843.39,34,1,219138.95,218936.41,212924.58,,220091.46
2,5,1439256,1742903,986287,418288,7,220091.46,34,1,224843.39,219138.95,218936.41,212924.58,212120.79
2,6,1424959,1608955,897750,418412,7,212120.79,34,1,220091.46,224843.39,219138.95,218936.41,208346.17
2,7,1432614,1596615,911928,374191,7,208346.17,34,1,212120.79,220091.46,224843.39,219138.95,222337.62
2,8,1583066,1575833,983746,417738,7,222337.62,34,1,208346.17,212120.79,220091.46,224843.39,215066.06
2,9,1438307,1744067,916047,375511,7,215066.06,34,1,222337.62,208346.17,212120.79,220091.46,221419.95
2,10,1571673,1575784,1001338,412567,7,221419.95,34,1,215066.06,222337.62,208346.17,212120.79,226924.08
2,11,1588179,1719205,915573,410888,7,226924.08,34,1,221419.95,215066.06,222337.62,208346.17,214107.6
2,12,1437436,1614532,990253,412027,7,214107.6,34,1,226924.08,221419.95,215066.06,222337.62,228939.18
2,13,1600073,1749554,915257,410673,7,228939.18,34,1,214107.6,226924.08,221419.95,215066.06,212653.04
2,14,1428594,1578115,980753,420866,7,212653.04,34,1,228939.18,214107.6,226924.08,221419.95,215858.87
2,15,1559894,1579365,913796,373668,7,215858.87,34,1,212653.04,228939.18,214107.6,226924.08,212818.91
2,16,1441242,1567557,989462,416921,7,212818.91,34,1,215858.87,212653.04,228939.18,214107.6,213471.72
2,17,1448882,1608849,908514,414284,7,213471.72,34,1,212818.91,215858.87,212653.04,228939.18,209472.0
2,18,1448667,1585422,915373,379697,7,209472.0,34,1,213471.72,212818.91,215858.87,212653.04,222926.57
2,19,1589827,1582219,995397,414325,7,222926.57,34,1,209472.0,213471.72,212818.91,215858.87,230239.22
2,20,1591402,1760688,987825,412931,7,230239.22,34,1,222926.57,209472.0,213471.72,212818.91,220739.11
2,21,1561242,1612028,906925,412925,7,220739.11,34,1,230239.22,222926.57,209472.0,213471.72,217529.89
2,22,1428348,1722360,913003,420606,7,217529.89,34,1,220739.11,230239.22,222926.57,209472.0,224750.52
2,23,1589177,1734058,916091,379090,7,224750.52,34,1,217529.89,220739.11,230239.22,222926.57,226660.74
2,24,1602857,1756593,912382,380669,7,226660.74,34,1,224750.52,217529.89,220739.11,230239.22,215267.18
2,25,1445919,1723724,915130,381867,7,215267.18,34,1,226660.74,224750.52,217529.89,220739.11,218532.87
2,26,1463399,1756819,991478,376256,7,218532.87,34,1,215267.18,226660.74,224750.52,217529.89,228946.63
2,27,1573331,1738789,997227,420024,7,228946.63,34,1,218532.87,215267.18,226660.74,224750.52,220728.37
2,28,1580607,1609561,999079,383232,7,220728.37,34,1,228946.63,218532.87,215267.18,226660.74,217420.58
2,29,1425130,1730047,916188,417563,7,217420.58,34,1,220728.37,228946.63,218532.87,215267.18,226226.94
2,30,1579640,1759803,1000379,375017,7,226226.94,34,1,217420.58,220728.37,228946.63,218532.87,
3,1,1675165,1825471,1124619,911909,15,285626.76,34,1,,,,,283016.38
3,2,1659775,1964224,1149520,825170,14,283016.38,34,1,285626.76,,,,283665.16
3,3,1645334,2000089,1151594,825739,15,283665.16,34,1,283016.38,285626.76,,,281175.48
3,4,1503580,1988753,1056877,922539,15,281175.48,34,1,283665.16,283016.38,285626.76,,281458.77
3,5,1656739,1976444,1044859,823495,14,281458.77,34,1,281175.48,283665.16,283016.38,285626.76,282904.68
3,6,1674395,1788247,1044499,914139,15,282904.68,34,1,281458.77,281175.48,283665.16,283016.38,276559.68
3,7,1658857,1816886,1045891,841422,15,276559.68,34,1,282904.68,281458.77,281175.48,283665.16,274598.41
3,8,1528174,2014125,1040150,823221,15,274598.41,34,1,276559.68,282904.68,281458.77,281175.48,284101.56
3,9,1665410,1993097,1048050,838266,14,284101.56,34,1,274598.41,276559.68,282904.68,281458.77,284720.72
3,10,1666936,1800513,1138861,916750,15,284720.72,34,1,284101.56,274598.41,276559.68,282904.68,283358.71
3,11,1648960,1965199,1154535,835373,14,283358.71,34,1,284720.72,284101.56,274598.41,276559.68,270329.2
3,12,1542611,1841505,1040960,845376,14,270329.2,34,1,283358.71,284720.72,284101.56,274598.41,272892.16
3,13,1511220,1828006,1044215,902020,15,272892.16,34,1,270329.2,283358.71,284720.72,284101.56,274081.53
3,14,1521189,1983999,1030324,838266,15,274081.53,34,1,272892.16,270329.2,283358.71,284720.72,269052.58
3,15,1533669,1792148,1138354,842771,15,269052.58,34,1,274081.53,272892.16,270329.2,283358.71,276641.49
3,16,1544131,1843460,1037556,913991,14,276641.49,34,1,269052.58,274081.53,272892.16,270329.2,282375.98
3,17,1680879,1968672,1029856,822651,15,282375.98,34,1,276641.49,269052.58,274081.53,272892.16,282553.34
3,18,1657384,1977555,1038191,835869,14,282553.34,34,1,282375.98,276641.49,269052.58,274081.53,282033.04
3,19,1528022,1968828,1146446,907390,14,282033.04,34,1,282553.34,282375.98,276641.49,269052.58,287061.79
3,20,1646979,1969254,1025398,899519,14,287061.79,34,1,282033.04,282553.34,282375.98,276641.49,284481.87
3,21,1682978,1989985,1048907,831141,15,284481.87,34,1,287061.79,282033.04,282553.34,282375.98,282488.1
3,22,1640981,1972583,1131578,832215,15,282488.1,34,1,284481.87,287061.79,282033.04,282553.34,282939.39
3,23,1667196,1789122,1041010,919930,14,282939.39,34,1,282488.1,284481.87,287061.79,282033.04,271304.79
3,24,1502074,1806290,1026386,904310,14,271304.79,34,1,282939.39,282488.1,284481.87,287061.79,284366.59
3,25,1662556,1795117,1140194,918231,14,284366.59,34,1,271304.79,282939.39,282488.1,284481.87,284062.48
3,26,1683297,1799698,1129966,899691,15,284062.48,34,1,284366.59,271304.79,282939.39,282488.1,279627.16
3,27,1502173,1977597,1038837,914843,14,279627.16,34,1,284062.48,284366.59,271304.79,282939.39,266906.72
3,28,1526554,1837763,1035449,821705,15,266906.72,34,1,279627.16,284062.48,284366.59,271304.79,266907.15
3,29,1502486,1833712,1040767,839917,15,266907.15,34,1,266906.72,279627.16,284062.48,284366.59,276754.28
3,30,1513402,1838928,1132923,922043,15,276754.28,34,1,266907.15,266906.72,279627.16,284062.48,
4,1,2009521,1455422,697896,437141,29,241999.89,34,1,,,,,228815.72
4,2,1869853,1446598,684726,397831,26,228815.72,34,1,241999.89,,,,238292.66
4,3,2019300,1338978,691723,444111,26,238292.66,34,1,228815.72,241999.89,,,228889.55
4,4,1856148,1336259,765267,444961,29,228889.55,34,1,238292.66,228815.72,241999.89,,223412.43
4,5,1855814,1340966,680823,397684,26,223412.43,34,1,228889.55,238292.66,228815.72,241999.89,230128.23
4,6,1872354,1434692,751849,403870,26,230128.23,34,1,223412.43,228889.55,238292.66,228815.72,237494.28
4,7,2061560,1315570,748190,405437,29,237494.28,34,1,230128.23,223412.43,228889.55,238292.66,234581.58
4,8,2040205,1313403,681441,401665,26,234581.58,34,1,237494.28,230128.23,223412.43,228889.55,225362.31
4,9,1883509,1341080,687765,398081,26,225362.31,34,1,234581.58,237494.28,230128.23,223412.43,244407.4
4,10,2042379,1449427,694047,443703,27,244407.4,34,1,225362.31,234581.58,237494.28,230128.23,241933.59
4,11,2055951,1471040,687164,397755,26,241933.59,34,1,244407.4,225362.31,234581.58,237494.28,241631.96
4,12,2036651,1450932,753970,405425,26,241631.96,34,1,241933.59,244407.4,225362.31,234581.58,242141.95
4,13,2009214,1457036,701054,437617,26,242141.95,34,1,241631.96,241933.59,244407.4,225362.31,223869.59
4,14,1848152,1334995,751024,398227,29,223869.59,34,1,242141.95,241631.96,241933.59,244407.4,245768.51
4,15,2059478,1440362,751826,440175,27,245768.51,34,1,223869.59,242141.95,241631.96,241933.59,241305.41
4,16,2054936,1448225,682955,402862,26,241305.41,34,1,245768.51,223869.59,242141.95,241631.96,244903.17
4,17,2018114,1468211,766096,444801,26,244903.17,34,1,241305.41,245768.51,223869.59,242141.95,237399.3
4,18,2017881,1334405,688770,437883,26,237399.3,34,1,244903.17,241305.41,245768.51,223869.59,232572.84
4,19,1886693,1462949,747874,408297,26,232572.84,34,1,237399.3,244903.17,241305.41,245768.51,233172.86
4,20,1878145,1455543,680203,436859,29,233172.86,34,1,232572.84,237399.3,244903.17,241305.41,226864.43
4,21,1848409,1311784,754061,441456,29,226864.43,34,1,233172.86,232572.84,237399.3,244903.17,241220.59
4,22,2062192,1433703,680293,403919,29,241220.59,34,1,226864.43,233172.86,232572.84,237399.3,243927.67
4,23,2024483,1464390,692443,444600,29,243927.67,34,1,241220.59,226864.43,233172.86,232572.84,234793.94
4,24,2012260,1342451,689901,409094,29,234793.94,34,1,243927.67,241220.59,226864.43,233172.86,237358.33
4,25,2005894,1312175,748059,445541,26,237358.33,34,1,234793.94,243927.67,241220.59,226864.43,240451.66
4,26,2026884,1440459,755812,403875,27,240451.66,34,1,237358.33,234793.94,243927.67,241220.59,227625.54
4,27,1843270,1342872,748677,440160,29,227625.54,34,1,240451.66,237358.33,234793.94,243927.67,232635.45
4,28,1860941,1466179,682546,437908,29,232635.45,34,1,227625.54,240451.66,237358.33,234793.94,241037.27
4,29,2036920,1464241,700906,402140,27,241037.27,34,1,232635.45,227625.54,240451.66,237358.33,240013.02
4,30,2048096,1323082,750746,439099,26,240013.02,34,1,241037.27,232635.45,227625.54,240451.66,
5,1,1042180,1579095,1023705,617971,8,206128.68,34,1,,,,,203941.09
5,2,1068402,1447592,1093303,623137,8,203941.09,34,1,206128.68,,,,212779.88
5,3,1146755,1566814,996104,627283,8,212779.88,34,1,203941.09,206128.68,,,214656.77
5,4,1166230,1594687,993978,621563,9,214656.77,34,1,212779.88,203941.09,206128.68,,201449.05
5,5,1044967,1422374,1104690,621962,8,201449.05,34,1,214656.77,212779.88,203941.09,206128.68,206679.33
5,6,1061046,1562182,1006899,621419,9,206679.33,34,1,201449.05,214656.77,212779.88,203941.09,206147.78
5,7,1040771,1451832,1007578,681127,8,206147.78,34,1,206679.33,201449.05,214656.77,212779.88,211995.24
5,8,1059140,1565030,1013250,679256,9,211995.24,34,1,206147.78,206679.33,201449.05,214656.77,214065.81
5,9,1168720,1436423,995601,686288,8,214065.81,34,1,211995.24,206147.78,206679.33,201449.05,212744.98
5,10,1160531,1558701,998563,620307,8,212744.98,34,1,214065.81,211995.24,206147.78,206679.33,206954.91
5,11,1042562,1441135,1094124,677970,9,206954.91,34,1,212744.98,214065.81,211995.24,206147.78,205867.8
5,12,1043328,1584456,1013714,613588,9,205867.8,34,1,206954.91,212744.98,214065.81,211995.24,202033.02
5,13,1051562,1449985,1092786,613067,9,202033.02,34,1,205867.8,206954.91,212744.98,214065.81,218725.97
5,14,1138773,1578531,1094213,675637,8,218725.97,34,1,202033.02,205867.8,206954.91,212744.98,201175.93
5,15,1054378,1460435,1014676,610934,9,201175.93,34,1,218725.97,202033.02,205867.8,206954.91,217671.16
5,16,1140654,1597028,1011984,669003,9,217671.16,34,1,201175.93,218725.97,202033.02,205867.8,212750.25
5,17,1139317,1571186,1090462,613072,9,212750.25,34,1,217671.16,201175.93,218725.97,202033.02,217980.59
5,18,1143141,1599039,1012992,669532,8,217980.59,34,1,212750.25,217671.16,201175.93,218725.97,219924.22
5,19,1147459,1561774,1111483,687300,8,219924.22,34,1,217980.59,212750.25,217671.16,201175.93,215937.12
5,20,1164355,1582152,1119856,619973,8,215937.12,34,1,219924.22,217980.59,212750.25,217671.16,207704.37
5,21,1058712,1561010,1103180,617456,8,207704.37,34,1,215937.12,219924.22,217980.59,212750.25,206483.77
5,22,1039347,1580894,994596,628417,8,206483.77,34,1,207704.37,215937.12,219924.22,217980.59,220478.65
5,23,1156823,1581867,1095434,680329,8,220478.65,34,1,206483.77,207704.37,215937.12,219924.22,209125.1
5,24,1068686,1577359,1101030,618853,9,209125.1,34,1,220478.65,206483.77,207704.37,215937.12,207987.08
5,25,1049386,1567869,1094387,625716,9,207987.08,34,1,209125.1,220478.65,206483.77,207704.37,204805.78
5,26,1054844,1421640,1010432,669605,9,204805.78,34,1,207987.08,209125.1,220478.65,206483.77,218199.67
